Ticker,Name,Exchange,ICB_Sector_L1,ICB_Sector_L2,ICB_Sector_L3,ICB_Sector_L4
SHI,SONHA CORP,HOSE,Nguyên vật liệu L1,Tài nguyên Cơ bản L2,Kim loại L3,Thép và sản phẩm thép L4
SHP,Thủy điện Miền Nam,HOSE,Tiện ích Cộng đồng L1,"Điện, nước & xăng dầu khí đốt L2",Sản xuất & Phân phối Điện L3,Sản xuất & Phân phối Điện L4
SII,Hạ tầng Nước Sài Gòn,HOSE,Tiện ích Cộng đồng L1,"Điện, nước & xăng dầu khí đốt L2",Nước & Khí đốt L3,Nước L4
SJD,Thủy điện Cần Đơn,HOSE,Tiện ích Cộng đồng L1,"Điện, nước & xăng dầu khí đốt L2",Sản xuất & Phân phối Điện L3,Sản xuất & Phân phối Điện L4
SJF,Đầu tư Sao Thái Dương,HOSE,Nguyên vật liệu L1,Hóa chất L2,Hóa chất L3,"Sản phẩm hóa dầu, Nông dược & Hóa chất khác L4"
SJS,SUDICO,HOSE,Tài chính L1,Bất động sản L2,Bất động sản L3,Bất động sản L4
SKG,Tàu Cao tốc Superdong,HOSE,Dịch vụ Tiêu dùng L1,Du lịch và Giải trí L2,Du lịch & Giải trí L3,Vận tải hành khách & Du lịch L4
SMA,Thiết bị Phụ tùng Sài Gòn,HOSE,Tiện ích Cộng đồng L1,"Điện, nước & xăng dầu khí đốt L2",Sản xuất & Phân phối Điện L3,Sản xuất & Phân phối Điện L4
SMB,Bia Sài Gòn - Miền Trung,HOSE,Hàng Tiêu dùng L1,Thực phẩm và đồ uống L2,Bia và đồ uống L3,Sản xuất bia L4
SMC,Đầu tư Thương mại SMC,HOSE,Nguyên vật liệu L1,Tài nguyên Cơ bản L2,Kim loại L3,Thép và sản phẩm thép L4
SPM,S.P.M CORP,HOSE,Dược phẩm và Y tế L1,Y tế L2,Dược phẩm L3,Dược phẩm L4
SRC,Cao su Sao Vàng,HOSE,Hàng Tiêu dùng L1,Ô tô và phụ tùng L2,Ô tô và phụ tùng L3,Lốp xe L4
SRF,SEAREFICO,HOSE,Công nghiệp L1,Hàng & Dịch vụ Công nghiệp L2,Công nghiệp nặng L3,Máy công nghiệp L4
SSB,SeABank,HOSE,Ngân hàng L1,Ngân hàng L2,Ngân hàng L3,Ngân hàng L4
SSC,Giống cây trồng Miền Nam,HOSE,Hàng Tiêu dùng L1,Thực phẩm và đồ uống L2,Sản xuất thực phẩm L3,Nuôi trồng nông & hải sản L4
SSI,Chứng khoán SSI,HOSE,Tài chính L1,Dịch vụ tài chính L2,Dịch vụ tài chính L3,Môi giới chứng khoán L4
ST8,Thiết bị Siêu Thanh,HOSE,Công nghệ Thông tin L1,Công nghệ Thông tin L2,Thiết bị và Phần cứng L3,Thiết bị văn phòng L4
STB,Sacombank,HOSE,Ngân hàng L1,Ngân hàng L2,Ngân hàng L3,Ngân hàng L4
STG,Kho Vận Miền Nam,HOSE,Công nghiệp L1,Hàng & Dịch vụ Công nghiệp L2,Vận tải L3,"Kho bãi, hậu cần và bảo dưỡng L4"
STK,Sợi Thế Kỷ,HOSE,Hàng Tiêu dùng L1,Hàng cá nhân & Gia dụng L2,Hàng cá nhân L3,Hàng May mặc L4
SVC,SAVICO,HOSE,Hàng Tiêu dùng L1,Ô tô và phụ tùng L2,Ô tô và phụ tùng L3,Sản xuất ô tô L4
SVD,Đầu tư & Thương mại Vũ Đăng,HOSE,Hàng Tiêu dùng L1,Hàng cá nhân & Gia dụng L2,Hàng cá nhân L3,Hàng May mặc L4
SVI,Bao bì Biên Hòa,HOSE,Công nghiệp L1,Hàng & Dịch vụ Công nghiệp L2,Hàng công nghiệp L3,Containers & Đóng gói L4
SVT,Công nghệ SG Viễn Đông,HOSE,Nguyên vật liệu L1,Tài nguyên Cơ bản L2,Lâm nghiệp và Giấy L3,Sản xuất giấy L4
SZC,Sonadezi Châu Đức,HOSE,Tài chính L1,Bất động sản L2,Bất động sản L3,Bất động sản L4
SZL,Sonadezi Long Thành,HOSE,Tài chính L1,Bất động sản L2,Bất động sản L3,Bất động sản L4
TBC,Thủy điện Thác Bà,HOSE,Tiện ích Cộng đồng L1,"Điện, nước & xăng dầu khí đốt L2",Sản xuất & Phân phối Điện L3,Sản xuất & Phân phối Điện L4
TCB,Techcombank,HOSE,Ngân hàng L1,Ngân hàng L2,Ngân hàng L3,Ngân hàng L4
TCD,ĐT Phát triển CN và Vận tải,HOSE,Công nghiệp L1,Xây dựng và Vật liệu L2,Xây dựng và Vật liệu L3,Xây dựng L4
TCH,ĐT DV Tài chính Hoàng Huy,HOSE,Tài chính L1,Bất động sản L2,Bất động sản L3,Bất động sản L4
TCL,Tan Cang Logistics,HOSE,Công nghiệp L1,Hàng & Dịch vụ Công nghiệp L2,Vận tải L3,Dịch vụ vận tải L4
TCM,Dệt may Thành Công,HOSE,Hàng Tiêu dùng L1,Hàng cá nhân & Gia dụng L2,Hàng cá nhân L3,Hàng May mặc L4
TCO,Vận tải Duyên Hải,HOSE,Công nghiệp L1,Hàng & Dịch vụ Công nghiệp L2,Vận tải L3,Dịch vụ vận tải L4
TCR,Gốm sứ TAICERA,HOSE,Công nghiệp L1,Xây dựng và Vật liệu L2,Xây dựng và Vật liệu L3,Vật liệu xây dựng & Nội thất L4
TCT,Cáp treo Tây Ninh,HOSE,Dịch vụ Tiêu dùng L1,Du lịch và Giải trí L2,Du lịch & Giải trí L3,Vận tải hành khách & Du lịch L4
TDC,Becamex TDC,HOSE,Tài chính L1,Bất động sản L2,Bất động sản L3,"Tư Vấn, Định giá, Môi giới Bất động sản L4"
TDG,Đầu tư TDG Global,HOSE,Tiện ích Cộng đồng L1,"Điện, nước & xăng dầu khí đốt L2",Nước & Khí đốt L3,Phân phối xăng dầu & khí đốt L4
TDH,Thủ Đức House,HOSE,Tài chính L1,Bất động sản L2,Bất động sản L3,Bất động sản L4
TDM,Nước Thủ Dầu Một,HOSE,Tiện ích Cộng đồng L1,"Điện, nước & xăng dầu khí đốt L2",Nước & Khí đốt L3,Nước L4
TDP,Công ty Thuận Đức,HOSE,Công nghiệp L1,Hàng & Dịch vụ Công nghiệp L2,Hàng công nghiệp L3,Containers & Đóng gói L4
TDW,Cấp nước Thủ Đức,HOSE,Tiện ích Cộng đồng L1,"Điện, nước & xăng dầu khí đốt L2",Nước & Khí đốt L3,Nước L4
